Date,Open,High,Low,Close,Adj Close,Volume
2010-07-06,248.000000,251.779999,247.199997,250.660004,187.073105,4386780
2010-07-07,252.399994,252.399994,245.919998,247.410004,184.647552,4321410
2010-07-08,252.000000,252.070007,247.759995,248.309998,185.319244,4591380
2010-07-09,249.910004,255.570007,249.789993,254.619995,190.028534,5484015
2010-07-12,255.449997,258.959991,253.110001,257.660004,192.297379,4312175
2010-07-13,257.700012,260.779999,254.630005,259.940002,193.998978,3804700
2010-07-14,261.600006,265.190002,260.820007,262.890015,196.200638,8475475
2010-07-15,270.000000,271.100006,263.119995,270.059998,201.551758,15944265
2010-07-16,272.000000,273.779999,267.480011,271.429993,202.574173,11515560
2010-07-19,271.000000,273.399994,268.670013,272.160004,203.119034,7309745
2010-07-20,273.049988,277.799988,271.700012,273.790009,204.335526,8051265
2010-07-21,274.200012,275.000000,267.359985,269.429993,201.081543,5821275
2010-07-22,268.049988,273.559998,267.000000,271.359985,202.521957,7460620
2010-07-23,273.000000,279.000000,273.000000,277.989990,207.470108,12190455
2010-07-26,278.000000,279.350006,275.000000,277.170013,206.858124,5565950
2010-07-27,277.399994,279.190002,273.600006,274.890015,205.156494,8134080
2010-07-28,276.799988,276.799988,268.200012,269.989990,201.499481,7000240
2010-07-29,270.000000,275.000000,268.510010,273.119995,203.835495,7545020
2010-07-30,272.000000,273.399994,267.399994,268.690002,200.529312,4661185
2010-08-02,270.019989,272.339996,268.029999,270.149994,201.618912,4723770
2010-08-03,270.149994,274.320007,269.059998,271.200012,202.402603,4953580
2010-08-04,272.000000,272.670013,265.019989,266.279999,198.730682,5902855
2010-08-05,266.899994,268.809998,262.410004,263.320007,196.521561,6734645
2010-08-06,263.549988,266.160004,261.149994,262.859985,196.178207,3310475
2010-08-09,262.859985,264.359985,258.799988,261.959991,195.506546,7863250
2010-08-10,262.000000,263.000000,257.700012,258.980011,193.282516,6740840
2010-08-11,258.980011,260.299988,255.330002,257.820007,192.416779,6623320
2010-08-12,256.000000,263.970001,254.970001,263.119995,196.372299,5976525
2010-08-13,264.000000,267.200012,264.000000,265.640015,198.253006,4534835
2010-08-16,266.100006,269.339996,264.720001,267.320007,199.506851,4977590
2010-08-17,267.399994,268.709991,264.660004,266.149994,198.633636,4577160
2010-08-18,266.149994,271.799988,264.000000,270.649994,201.992096,6307095
2010-08-19,271.600006,273.200012,268.399994,272.709991,203.529495,4684215
2010-08-20,271.600006,275.000000,270.510010,273.399994,204.044449,4624730
2010-08-23,273.399994,277.140015,272.079987,276.250000,206.171509,3651835
2010-08-24,275.000000,277.000000,271.579987,274.429993,204.813202,5415270
2010-08-25,272.799988,276.200012,271.579987,272.339996,203.253372,6578005
2010-08-26,272.600006,275.000000,270.000000,273.559998,204.163910,7188305
2010-08-27,273.399994,276.649994,263.720001,265.390015,198.066437,4726265
2010-08-30,266.399994,269.799988,262.399994,264.790009,197.618652,3479155
2010-08-31,255.369995,268.000000,230.000000,266.130005,198.618713,4318510
2010-09-01,266.130005,271.799988,266.130005,270.820007,202.118958,4534980
2010-09-02,271.820007,279.160004,271.820007,277.609985,207.186493,7979275
2010-09-03,280.000000,280.000000,273.100006,275.929993,205.932663,3513110
2010-09-06,276.799988,281.100006,276.640015,278.929993,208.171631,5057435
2010-09-07,279.200012,281.279999,275.399994,279.500000,208.597031,4221330
2010-09-08,278.000000,278.540009,274.619995,276.250000,206.171509,5155280
2010-09-09,277.000000,278.380005,273.459991,275.880005,205.895355,3865715
2010-09-13,277.200012,286.570007,277.200012,285.239990,212.880920,6447070
2010-09-14,286.100006,287.399994,281.119995,285.260010,212.895859,6029480
2010-09-15,285.799988,295.000000,285.200012,294.000000,219.418716,8460645
2010-09-16,294.000000,304.600006,292.429993,296.959991,221.627808,10070090
2010-09-17,297.010010,302.600006,296.200012,301.299988,224.866852,6433195
2010-09-20,301.000000,313.399994,297.640015,309.369995,230.889709,7145005
2010-09-21,310.100006,316.510010,305.029999,306.149994,228.486542,10457885
2010-09-22,307.200012,310.399994,303.000000,305.940002,228.329803,7649460
2010-09-23,306.399994,307.940002,297.940002,299.049988,223.187637,8305375
2010-09-24,299.239990,302.589996,295.079987,301.369995,224.919113,8634710
2010-09-27,303.989990,305.359985,298.640015,301.429993,224.963867,4490365
2010-09-28,300.799988,303.980011,298.480011,301.059998,224.687714,6985740
2010-09-29,290.040009,304.470001,290.040009,302.079987,225.448975,6439615
2010-09-30,302.089996,308.589996,297.489990,307.320007,229.359741,10918285
2010-10-01,307.600006,316.799988,307.600006,314.970001,235.069107,5313840
2010-10-04,316.399994,319.239990,314.220001,315.420013,235.404968,3687630
2010-10-05,315.420013,318.079987,314.019989,315.059998,235.136246,4334955
2010-10-06,318.000000,319.739990,310.480011,312.450012,233.188354,6782255
2010-10-07,312.450012,316.600006,312.200012,313.739990,234.151108,4859325
2010-10-08,314.399994,316.739990,311.220001,314.070007,234.397415,5830295
2010-10-11,315.239990,321.100006,307.630005,310.170013,231.486786,10020915
2010-10-12,313.170013,313.179993,305.019989,308.640015,230.344894,4249265
2010-10-13,310.200012,318.929993,309.410004,317.750000,237.143890,5136290
2010-10-14,319.000000,321.700012,311.450012,312.779999,233.434631,9509550
2010-10-15,313.000000,315.000000,299.220001,300.410004,224.202652,12532945
2010-10-18,285.399994,299.799988,285.399994,296.390015,221.202438,11204405
2010-10-19,297.799988,299.459991,292.410004,293.700012,219.194839,8202805
2010-10-20,293.000000,295.399994,290.200012,291.040009,217.209610,5254270
2010-10-21,294.000000,302.649994,292.000000,301.260010,224.837051,9674255
2010-10-22,302.769989,302.769989,292.200012,292.799988,218.523117,4631140
2010-10-25,293.399994,298.000000,292.000000,292.910004,218.605240,4696400
2010-10-26,294.000000,294.049988,291.049988,291.899994,217.851440,4419695
2010-10-27,292.100006,292.540009,287.609985,289.410004,215.993088,3512190
2010-10-28,291.100006,294.239990,288.000000,288.959991,215.657227,9676480
2010-10-29,289.760010,296.600006,286.209991,294.209991,219.575439,6046415
2010-11-01,297.779999,304.869995,296.420013,302.720001,225.926636,5140055
2010-11-02,304.799988,307.500000,302.609985,305.320007,227.867065,5065500
2010-11-03,305.630005,308.720001,305.600006,307.220001,229.285095,2664580
2010-11-04,310.140015,311.100006,307.619995,308.880005,230.523972,2665910
2010-11-08,311.799988,316.799988,307.720001,311.179993,232.240509,6482605
2010-11-09,311.000000,313.350006,308.200012,312.459991,233.195831,3860055
2010-11-10,313.399994,313.399994,307.260010,308.679993,230.374725,3503475
2010-11-11,309.200012,311.959991,303.500000,304.480011,227.240143,3167795
2010-11-12,305.600006,305.600006,296.290009,298.399994,222.702530,4544795
2010-11-15,300.049988,307.000000,297.010010,304.339996,227.135666,3234555
2010-11-16,306.750000,306.790009,289.000000,293.829987,219.291809,7237705
2010-11-18,299.799988,299.799988,277.799988,285.200012,212.851089,25503185
2010-11-19,286.230011,286.230011,274.010010,276.940002,206.686478,13416300
2010-11-22,280.000000,290.760010,274.000000,286.119995,213.537689,13820860
2010-11-23,284.200012,285.399994,276.059998,284.339996,212.209244,7074135
2010-11-24,285.600006,286.190002,274.000000,276.959991,206.701416,4932325
2010-11-25,277.040009,279.140015,267.220001,268.579987,200.447205,11465340
2010-11-26,268.200012,273.450012,259.399994,266.179993,198.656021,7351030
2010-11-29,269.790009,269.799988,264.200012,265.820007,198.387344,5470435
2010-11-30,265.799988,277.959991,263.040009,273.369995,204.022095,6530490
2010-12-01,274.010010,285.779999,274.000000,284.890015,212.619736,5507435
2010-12-02,288.200012,292.200012,284.630005,291.070007,217.231995,6647870
2010-12-03,291.070007,291.070007,277.769989,281.230011,209.888199,8015840
2010-12-06,284.940002,284.940002,275.200012,276.489990,206.350601,4688830
2010-12-07,277.000000,277.010010,261.500000,264.899994,197.700745,12159570
2010-12-08,263.799988,263.799988,248.660004,250.300003,186.804443,21467880
2010-12-09,252.479996,259.799988,245.940002,249.149994,185.946182,15667605
2010-12-10,250.600006,266.000000,249.600006,264.709991,197.558914,10515220
2010-12-13,268.000000,271.000000,258.619995,264.130005,197.126083,8870460
2010-12-14,266.760010,266.980011,257.040009,260.670013,194.543808,12568445
2010-12-15,260.000000,264.200012,256.010010,259.519989,193.685532,9978370
2010-12-16,260.929993,263.940002,257.019989,261.869995,195.439407,9694435
2010-12-20,262.000000,262.000000,253.369995,254.179993,189.700180,7356300
2010-12-21,256.179993,264.779999,256.000000,263.670013,196.782761,9313990
2010-12-22,265.600006,265.899994,260.839996,262.329987,195.782700,5855595
2010-12-23,264.559998,264.559998,261.929993,262.820007,196.148407,2830535
2010-12-24,260.000000,264.959991,260.000000,264.399994,197.327576,2594170
2010-12-27,265.880005,266.000000,262.019989,263.320007,196.521561,2077245
2010-12-28,264.380005,264.380005,257.309998,257.779999,192.386917,3570910
2010-12-29,258.109985,263.000000,258.109985,262.480011,195.894623,3942910
2010-12-30,264.000000,267.739990,261.019989,266.760010,199.088898,7050460
2010-12-31,267.350006,271.600006,266.380005,270.019989,201.521912,4513055
2011-01-03,273.000000,274.399994,268.459991,273.529999,204.141510,5266100
2011-01-04,274.579987,275.320007,268.700012,269.589996,201.201019,6919075
2011-01-05,270.200012,270.200012,260.600006,262.179993,195.670715,8749390
2011-01-06,263.269989,264.420013,260.000000,261.170013,194.916962,3967170
2011-01-07,260.070007,260.070007,252.779999,256.130005,191.155487,12047915
2011-01-10,257.000000,261.000000,249.259995,250.919998,187.267151,8070285
2011-01-11,252.020004,265.100006,252.000000,260.040009,194.073593,12543110
2011-01-12,261.190002,264.570007,258.000000,262.670013,196.036469,12960200
2011-01-13,261.700012,265.519989,252.220001,253.089996,188.886673,5724240
2011-01-14,253.960007,255.399994,239.000000,240.320007,179.356140,13463850
2011-01-17,242.399994,248.000000,240.020004,245.800003,183.445999,10319355
2011-01-18,246.029999,259.589996,246.029999,255.649994,190.797256,14701270
