Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,88.000000,88.949997,87.699997,88.000000,67.991615,5660241
2010-04-05,89.233299,89.566704,88.033302,88.266701,68.197685,7335420
2010-04-06,88.266701,89.199997,87.699997,88.750000,68.571091,9674910
2010-04-07,88.449997,90.000000,87.833298,89.816704,69.395264,8730540
2010-04-08,89.333298,89.650002,88.783302,89.250000,68.957405,6258126
2010-04-09,89.266701,90.166702,88.566704,89.750000,69.343719,8402556
2010-04-12,90.000000,90.900002,89.116699,90.466698,69.897476,7865253
2010-04-13,91.199997,91.233299,89.366699,89.533302,69.176292,4827846
2010-04-15,90.016701,90.233299,87.083298,87.583298,67.669662,11888379
2010-04-16,86.699997,89.949997,86.699997,89.699997,69.305084,8866254
2010-04-19,89.333298,91.266701,87.449997,88.283302,68.210518,7860243
2010-04-20,88.833298,88.900002,87.000000,87.733299,67.785568,8330829
2010-04-21,88.000000,88.316704,87.116699,87.483299,67.592407,5479608
2010-04-22,87.166702,89.116699,86.833298,88.083298,68.055984,13173507
2010-04-23,88.233299,89.316704,87.366699,88.983299,68.751350,4994151
2010-04-26,88.666702,90.300003,88.366699,89.133301,68.867241,5372082
2010-04-27,89.333298,90.283302,88.516701,89.849998,69.420982,5873439
2010-04-28,89.033302,90.800003,88.616699,89.983299,69.523987,10551009
2010-04-29,90.466698,90.466698,88.500000,89.050003,68.802872,10187193
2010-04-30,89.333298,89.566704,88.333298,88.616699,68.468102,6860544
2010-05-03,87.083298,88.866699,87.083298,88.316704,68.236298,7014309
2010-05-04,87.400002,88.666702,87.000000,87.433296,67.553764,4731258
2010-05-05,83.333298,87.866699,83.333298,87.383301,67.515137,6922596
2010-05-06,81.666702,87.500000,81.666702,86.349998,66.716774,5814033
2010-05-07,84.666702,86.983299,84.533302,86.383301,66.742508,8690826
2010-05-10,84.966698,87.650002,84.966698,87.266701,67.425049,14890680
2010-05-11,85.849998,87.766701,85.849998,86.516701,66.845573,9940143
2010-05-12,84.166702,88.633301,84.166702,88.349998,68.262039,5336889
2010-05-13,89.000000,89.333298,87.916702,88.833298,68.635445,6069930
2010-05-14,87.666702,91.000000,87.666702,89.383301,69.060394,8906088
2010-05-17,88.666702,89.633301,88.333298,88.716698,68.545364,7166223
2010-05-18,88.349998,89.833298,87.116699,89.550003,69.189194,4777407
2010-05-19,89.483299,89.483299,86.000000,86.400002,66.755417,8933691
2010-05-20,86.116699,88.449997,85.666702,87.466698,67.579575,12634194
2010-05-21,86.666702,91.433296,85.783302,90.433296,69.871651,36162564
2010-05-24,91.666702,91.833298,88.516701,89.349998,69.034668,14963190
2010-05-25,89.166702,90.066704,86.233299,86.833298,67.090195,21123138
2010-05-26,87.349998,89.983299,87.033302,89.699997,69.305084,11092257
2010-05-27,89.833298,92.866699,89.099998,91.966698,71.056419,29180253
2010-05-28,92.666702,94.666702,91.966698,94.400002,72.936462,16856175
2010-05-31,95.900002,95.900002,93.066704,94.400002,72.936462,11478402
2010-06-01,95.133301,95.316704,93.833298,94.333298,72.884926,9575319
2010-06-02,94.666702,94.933296,93.083298,93.766701,72.447159,8114391
2010-06-03,94.333298,95.616699,94.166702,95.166702,73.528847,7469256
2010-06-04,96.283302,97.266701,92.333298,96.949997,74.906670,9566439
2010-06-07,95.000000,96.366699,95.000000,95.900002,74.095413,6596508
2010-06-08,96.900002,97.533302,95.516701,96.566704,74.610535,9177735
2010-06-09,95.800003,95.800003,92.033302,92.533302,74.988663,11892087
2010-06-10,93.000000,93.916702,91.733299,93.349998,75.650505,10567989
2010-06-11,96.333298,96.333298,93.550003,93.849998,76.055702,8462898
2010-06-14,94.233299,95.599998,93.866699,95.366699,77.284843,8419260
2010-06-15,95.333298,97.566704,95.033302,97.233299,78.797523,9378027
2010-06-16,98.233299,98.233299,96.050003,96.966698,78.581459,11822742
2010-06-17,97.000000,98.966698,96.383301,97.966698,79.391869,13327236
2010-06-18,98.333298,99.766701,97.566704,98.300003,79.661972,15590238
2010-06-21,98.900002,100.000000,97.333298,99.699997,80.796516,13894062
2010-06-22,99.333298,101.250000,99.083298,100.599998,81.525871,9383262
2010-06-23,100.000000,101.400002,99.750000,100.949997,81.809517,9282372
2010-06-24,101.000000,102.633003,100.032997,101.917000,82.593178,20714163
2010-06-25,101.883003,102.633003,100.067001,100.483002,81.431076,7899066
2010-06-28,100.333000,101.167000,99.000000,99.216698,80.404854,6452673
2010-06-29,99.533302,99.666702,98.016701,98.783302,80.053642,5038401
2010-06-30,97.666702,102.067001,97.666702,101.817001,82.512138,13851996
2010-07-01,101.599998,101.599998,100.083000,101.000000,81.850037,5114853
2010-07-02,101.667000,101.983002,100.599998,100.849998,81.728485,4187586
2010-07-05,100.800003,101.500000,100.000000,100.717003,81.620705,4299357
2010-07-06,100.733002,101.099998,100.366997,100.967003,81.823303,4537185
2010-07-07,101.032997,101.150002,100.000000,100.667000,81.580170,6040461
2010-07-08,101.333000,101.782997,100.633003,101.050003,81.890556,5593527
2010-07-09,101.050003,101.599998,99.750000,100.116997,81.134453,5969130
2010-07-12,100.667000,100.667000,99.766701,99.983299,81.026108,6976782
2010-07-13,99.983299,100.467003,98.433296,99.699997,80.796516,14032884
2010-07-14,100.050003,100.717003,99.216698,99.500000,80.634438,13910667
2010-07-15,99.500000,100.333000,99.416702,100.032997,81.066383,9170715
2010-07-16,100.167000,100.182999,98.866699,99.449997,80.593925,11566047
2010-07-19,99.133301,99.983299,96.666702,97.116699,78.703026,9788847
2010-07-20,97.333298,97.800003,96.699997,97.150002,78.730011,4301751
2010-07-21,97.616699,98.666702,96.949997,97.449997,78.973129,11564385
2010-07-22,88.800003,99.516701,88.800003,99.233299,80.418312,21792534
2010-07-23,100.000000,100.900002,99.416702,100.550003,81.485374,19647324
