"Date","Open","High","Low","Close"
"05 Sep 2018","15543.20","15595.10","15397.15","15531.90"
"04 Sep 2018","15763.35","15780.45","15518.30","15563.20"
"03 Sep 2018","16005.45","16008.35","15724.55","15748.30"
"31 Aug 2018","15894.40","16011.35","15869.40","15933.20"
"30 Aug 2018","16047.90","16047.90","15881.75","15973.50"
"29 Aug 2018","16054.35","16129.15","16013.90","16045.45"
"28 Aug 2018","16152.15","16152.15","16011.65","16088.90"
"27 Aug 2018","15882.00","16100.00","15877.45","16077.75"
"24 Aug 2018","15903.60","15967.05","15778.75","15814.50"
"23 Aug 2018","16089.35","16090.35","15898.00","15932.75"
"21 Aug 2018","16068.20","16076.25","15983.30","16054.90"
"20 Aug 2018","16049.50","16115.95","16040.85","16062.50"
"17 Aug 2018","15962.25","16058.55","15936.90","16027.55"
"16 Aug 2018","15854.15","15970.20","15812.50","15864.70"
"14 Aug 2018","15824.40","15993.75","15815.30","15975.85"
"13 Aug 2018","15771.45","15859.50","15762.20","15800.30"
"10 Aug 2018","16007.80","16030.95","15922.20","15942.60"
"09 Aug 2018","15879.65","16040.30","15879.15","15994.95"
"08 Aug 2018","15762.65","15877.95","15697.05","15835.35"
"07 Aug 2018","15756.80","15767.80","15672.40","15729.50"
"06 Aug 2018","15668.30","15787.05","15659.15","15727.05"
"03 Aug 2018","15466.60","15636.10","15445.10","15621.25"
"02 Aug 2018","15438.10","15454.85","15368.30","15387.40"
"01 Aug 2018","15576.90","15661.25","15440.05","15508.25"
"31 Jul 2018","15650.30","15679.10","15549.30","15613.45"
"30 Jul 2018","15621.10","15684.05","15495.85","15666.45"
"27 Jul 2018","15424.65","15565.35","15386.70","15548.25"
"26 Jul 2018","15246.95","15396.30","15222.70","15381.20"
"25 Jul 2018","15248.45","15301.20","15219.90","15244.55"
"24 Jul 2018","15289.20","15357.20","15189.40","15250.20"
"23 Jul 2018","15118.75","15312.80","15106.45","15296.05"
"20 Jul 2018","15127.15","15231.20","15104.20","15195.90"
"19 Jul 2018","15288.25","15319.20","15109.40","15142.80"
"18 Jul 2018","15381.25","15404.50","15210.20","15238.20"
"17 Jul 2018","15155.65","15351.25","15146.60","15330.70"
"16 Jul 2018","15276.45","15293.25","15131.80","15153.70"
"13 Jul 2018","15360.40","15397.60","15266.65","15287.10"
"12 Jul 2018","15310.55","15433.75","15309.65","15344.95"
"11 Jul 2018","15281.70","15317.25","15210.45","15241.60"
